ticker,last_close,median_dollar_volume
PTLO,4.670000076293945,4686689.897251129
GSM,4.150000095367432,4673459.932470322
GTN,4.349999904632568,4660220.125675201
GAU,1.9299999475479126,4572275.058925152
PALI,2.119999885559082,4538159.920692444
KPTI,1.909999966621399,4508304.711214185
MRLN,4.150000095367432,4463830.198001862
BIYA,2.859999895095825,4379114.579375029
AIOT,4.21999979019165,4343567.918777466
DVLT,0.2824999988079071,4282047.055184841
GEMI,4.03000020980835,4262906.058216095
HNST,3.8499999046325684,4131090.0599956512
EMBC,3.569999933242798,4097925.0
EDIT,2.75,4038912.1604919434
MVST,0.8431000113487244,4027360.0600123405
PLTK,3.890000104904175,4020715.77842927
IVA,4.71999979019165,3984287.9013061523
BTGO,5.0,3970075.955104828
OPTU,0.7840999960899353,3962611.2510681152
AREC,2.140000104904175,3949492.131948471
DOMO,3.799999952316284,3913076.9268274307
FIP,3.4100000858306885,3890700.0
PHK,4.659999847412109,3887970.186138153
SLI,2.25,3886681.963300705
BCAR,4.400000095367432,3864041.127681732
BAK,2.259999990463257,3828708.1051826477
TMQ,3.5199999809265137,3811093.0683612823
WOOF,2.9200000762939453,3804750.108718872
OPK,1.350000023841858,3734016.148376465
ELDN,3.440000057220459,3679390.092611313
KDK,4.230000019073486,3655257.1692943573
MX,3.6700000762939453,3642475.0757217407
GPUS,0.12039999663829803,3610991.919288039
AKBA,1.2899999618530273,3558060.1413846016
LXEO,4.449999809265137,3555887.955379486
VTEX,4.400000095367432,3552626.0984420776
BYRN,4.670000076293945,3523007.962036133
FWDI,4.230000019073486,3521859.114408493
CTKB,4.179999828338623,3506176.171875
GCTS,2.2699999809265137,3477179.8420906067
OGG,2.700000047683716,3447815.956735611
CATX,2.940000057220459,3420846.0329532623
NNDM,1.559999942779541,3405450.0
GRNT,4.630000114440918,3401451.127767563
LODE,3.0999999046325684,3356304.065322876
ECC,3.859999895095825,3355676.90076828
IRD,3.7799999713897705,3354735.9169006348
ASTL,4.460000038146973,3349130.898141861
VIVO,3.7799999713897705,3326462.884902954
ACB,2.9100000858306885,3313274.1441726685
ANGI,4.784999847412109,3274199.938774109
IMRX,4.389999866485596,3248460.362482071
KULR,2.75,3236183.975505829
EGHT,2.309999942779541,3231576.0095119476
CDZI,3.25,3227624.087667465
GPRO,0.7214999794960022,3205187.98892498
NRXP,3.055000066757202,3202836.043739319
OVID,2.619999885559082,3188595.8582639694
BLND,2.009999990463257,3182762.9135012627
EU,1.149999976158142,3175750.0
MGNX,3.9000000953674316,3161983.1187725067
LX,1.4800000190734863,3148330.040574074
WRN,2.309999942779541,3141225.0
EVTL,1.2999999523162842,3123629.989206791
AIIO,2.9800000190734863,3042171.029305458
DPRO,4.360000133514404,3012680.0652980804
GOSS,0.1776999980211258,3008250.6957560778
CLNE,1.8799999952316284,3007509.8764896393
BZAI,0.9351000189781189,2960961.54845953
FJET,3.7300000190734863,2894287.0116710663
TVRD,2.0,2861438.0651950836
ACCO,4.360000133514404,2852013.8828754425
UIS,2.930000066757202,2822259.9645853043
ZSQR,4.110000133514404,2793984.1369628906
RERE,4.360000133514404,2771263.850402832
NCT,3.4600000381469727,2771060.007572174
QTEX,1.0800000429153442,2758029.3302357197
HUMA,0.7287999987602234,2746598.362970352
CSAN,3.0399999618530273,2644078.015613556
NAGE,2.9600000381469727,2613674.0232229233
GDRX,3.2699999809265137,2607711.967277527
LFMD,3.680000066757202,2579640.0592803955
ENGS,2.6600000858306885,2564869.617176056
SID,0.9817000031471252,2523350.0772714615
BWEN,4.510000228881836,2495886.104106903
STIM,2.3499999046325684,2492854.071843624
TV,2.740000009536743,2492100.0440120697
QSI,0.7565000057220459,2478015.8319354057
SITC,3.2799999713897705,2447158.5193276405
AIV,2.6500000953674316,2424993.975043297
NEOV,2.869999885559082,2414809.98980999
JQC,4.789999961853027,2367452.046585083
VERI,1.2000000476837158,2358719.892883301
AMPY,3.880000114440918,2314500.0
AVXL,3.200000047683716,2307565.032482147
PYXS,3.130000114440918,2300676.053953171
EVEX,2.6600000858306885,2300354.95698452
CRON,2.7200000286102295,2294875.0
ZCMD,1.1799999475479126,2286441.990351677
VUZI,2.559999942779541,2246786.110138893
BSIN,1.2000000476837158,2224680.0884008408
LESL,1.3600000143051147,2219698.571205139
HRZN,4.380000114440918,2216592.0880794525
MVIS,3.174999952316284,2204418.0516958237
OXSQ,1.5,2191898.05727005
ALVO,3.759999990463257,2152120.023727417
TYGO,1.2899999618530273,2118841.912984848
ZENA,1.3899999856948853,2114884.978234768
RGP,4.449999809265137,2111583.9447021484
STAK,1.8899999856948853,2106217.908000946
XFOR,4.150000095367432,2103270.051431656
CRBU,1.6100000143051147,2097206.0700654984
SHMD,4.440000057220459,2095255.9337615967
IHRT,3.809999942779541,2087070.0545310974
ENIC,4.489999771118164,2065800.0447750092
LBGJ,3.5399999618530273,2054145.6816244125
HLLY,3.0399999618530273,2031285.9112739563
SIGA,3.1500000953674316,2030263.941001892
LASE,1.100000023841858,2020267.0990347862
VGZ,1.9900000095367432,2009648.0334281921
VYGR,3.0999999046325684,2008320.0299263
TLS,4.679999828338623,2007002.9301166534
GORO,2.1600000858306885,1998375.0522136688
NMAD,3.890000104904175,1967349.9512672424
GETY,0.47519999742507935,1960377.5419294834
FBIO,2.7899999618530273,1959447.6632089615
HOVR,1.909999966621399,1940321.966457367
CGC,0.9316999912261963,1937166.0519838333
NFGC,1.5399999618530273,1932794.980108738
ALDX,1.600000023841858,1922530.0539255142
ZIP,4.25,1920360.0469589233
SABS,3.7699999809265137,1910930.9801101685
IVVD,0.6043999791145325,1907963.1479740143
